"X","Y","F39L","tkxI","VNSF","C1hA"
"1.0","1.0","-74","-90","-81","-80"
"1.0","1.0","-80","-88","-79","-80"
"1.0","1.0","-80","-88","-86","-80"
"1.0","1.0","-82","-88","-86","-79"
"1.0","1.0","-82","-88","-86","-74"
"1.0","1.0","-82","-88","-86","-79"
"1.0","1.0","-74","-88","-86","-79"
"1.0","1.0","-74","-84","-86","-79"
"1.0","1.0","-72","-84","-78","-79"
"1.0","1.0","-72","-84","-78","-80"
"1.0","1.0","-80","-81","-84","-78"
"1.0","1.0","-80","-81","-84","-66"
"1.0","1.0","-80","-81","-84","-66"
"1.0","1.0","-80","-95","-84","-66"
"1.0","1.0","-80","-82","-84","-80"
"1.0","1.0","-80","-82","-84","-79"
"1.0","1.0","-80","-82","-84","-66"
"1.0","1.0","-80","-82","-84","-66"
"1.0","1.0","-80","-94","-84","-66"
"1.0","1.0","-80","-94","-84","-82"
"1.0","1.0","-88","-84","-86","-63"
"1.0","1.0","-88","-84","-94","-63"
"1.0","1.0","-88","-77","-94","-72"
"1.0","1.0","-88","-78","-94","-72"
"1.0","1.0","-88","-78","-94","-72"
"1.0","1.0","-88","-78","-85","-72"
"1.0","1.0","-88","-78","-85","-64"
"1.0","1.0","-88","-78","-85","-68"
"1.0","1.0","-88","-78","-90","-68"
"1.0","1.0","-88","-87","-90","-68"
"1.0","1.0","-80","-86","-80","-74"
"1.0","1.0","-80","-92","-80","-74"
"1.0","1.0","-80","-95","-80","-72"
"1.0","1.0","-80","-95","-85","-72"
"1.0","1.0","-80","-93","-85","-80"
"1.0","1.0","-70","-93","-85","-76"
"1.0","1.0","-70","-91","-85","-76"
"1.0","1.0","-70","-100","-82","-76"
"1.0","1.0","-70","-88","-82","-77"
"1.0","1.0","-74","-94","-82","-77"
"1.0","3.0","-70","-85","-70","-83"
"1.0","3.0","-70","-90","-72","-84"
"1.0","3.0","-70","-90","-70","-92"
"1.0","3.0","-69","-86","-70","-92"
"1.0","3.0","-70","-86","-72","-92"
"1.0","3.0","-70","-87","-72","-92"
"1.0","3.0","-70","-87","-72","-92"
"1.0","3.0","-70","-87","-72","-93"
"1.0","3.0","-70","-88","-72","-93"
"1.0","3.0","-70","-89","-72","-93"
"1.0","3.0","-71","-82","-77","-70"
"1.0","3.0","-84","-82","-77","-70"
"1.0","3.0","-84","-83","-80","-70"
"1.0","3.0","-84","-83","-80","-75"
"1.0","3.0","-68","-82","-80","-75"
"1.0","3.0","-68","-82","-80","-75"
"1.0","3.0","-68","-82","-80","-73"
"1.0","3.0","-68","-82","-80","-70"
"1.0","3.0","-86","-82","-80","-70"
"1.0","3.0","-68","-82","100","-70"
"1.0","3.0","-78","-80","-75","-76"
"1.0","3.0","-81","-80","-75","-76"
"1.0","3.0","-81","-80","-75","-74"
"1.0","3.0","-84","-80","-75","-74"
"1.0","3.0","-87","-80","-75","-79"
"1.0","3.0","-87","-80","-75","-75"
"1.0","3.0","-87","-80","-89","-75"
"1.0","3.0","-83","-80","-89","-76"
"1.0","3.0","-83","-80","-74","-73"
"1.0","3.0","-83","-80","-89","-74"
"1.0","3.0","-77","-92","-94","-75"
"1.0","3.0","-77","-92","-87","-75"
"1.0","3.0","-77","-88","-87","-75"
"1.0","3.0","-77","-88","-87","-82"
"1.0","3.0","-77","-88","-87","-76"
"1.0","3.0","-77","-88","-87","-76"
"1.0","3.0","-78","-88","-87","-76"
"1.0","3.0","-78","-88","-85","-76"
